Median_of_median_time,Quick_sort_time,
1.46291,0.16,
0.936448,0.158464,
1.77869,0.158592,
2.63501,0.158464,
1.94803,0.158848,
1.25914,0.158976,
1.41261,0.159104,
1.89222,0.159744,
2.56934,0.15936,
1.39571,0.158976,
2.1015,0.161664,
2.1431,0.15872,
1.82541,0.159232,
1.30253,0.157824,
1.78842,0.159104,
2.96218,0.158464,
2.37312,0.159872,
1.73171,0.158592,
3.56749,0.165888,
2.61939,0.160512,
1.28602,0.159872,
1.19949,0.159488,
1.60102,0.159616,
1.93254,0.158464,
1.72838,0.159872,
1.1657,0.15808,
1.29434,0.158976,
1.4519,0.158976,
1.46086,0.160256,
1.5095,0.160384,
1.80915,0.159488,
2.56013,0.160512,
1.49261,0.159744,
1.51373,0.15872,
1.08224,0.158464,
2.03994,0.159232,
2.27904,0.15936,
0.92416,0.159872,
1.4889,0.160128,
2.12301,0.159616,
1.05677,0.15872,
1.18144,0.15808,
1.11155,0.158464,
2.11942,0.162944,
1.04448,0.16,
1.29728,0.159488,
1.5703,0.15936,
1.60499,0.158592,
1.41786,0.15936,
2.28634,0.159104,
2.83469,0.158976,
1.2201,0.158976,
1.48134,0.159488,
1.49594,0.159232,
1.25299,0.159616,
1.61306,0.159744,
1.9575,0.159232,
1.05485,0.1664,
1.88416,0.166528,
1.07955,0.159616,
2.4608,0.158848,
1.02042,0.159872,
1.43245,0.159616,
2.37235,0.16,
1.59066,0.158976,
1.55558,0.160384,
1.16749,0.159232,
1.65466,0.16128,
0.912,0.159616,
1.6009,0.159232,
1.91501,0.160256,
0.88448,0.158848,
1.61024,0.166016,
1.74669,0.158464,
1.23379,0.16256,
1.48621,0.159104,
1.30586,0.15872,
1.30253,0.161408,
2.49357,0.158592,
1.07341,0.157696,
1.81824,0.158336,
1.33824,0.159488,
2.49715,0.159232,
1.36307,0.159744,
2.08243,0.158848,
1.77766,0.158976,
1.03283,0.16,
1.8953,0.158464,
2.16627,0.15872,
2.87987,0.15872,
1.06944,0.159872,
1.92474,0.15808,
2.15552,0.158848,
1.23866,0.158464,
1.7536,0.159616,
1.21613,0.158464,
1.43309,0.158592,
1.01133,0.159232,
3.16992,0.16256,
1.36922,0.16,
1.66502,0.166784,
1.68986,0.159744,
1.19347,0.15872,
0.922368,0.159872,
1.53037,0.15872,
2.28006,0.166528,
1.5049,0.159744,
1.10195,0.159104,
0.914176,0.159104,
